,BehaviorTest,Animal #,Notes,TestCategory,Date,Time
626,Write Up,A0058483232,"6/10/2025 VOL Observation 6/9 Would like assessment on possible OA level.  She's currently an L1 dog that hadn't gotten out much. During Shelter Dog training class in the MP, she had high energy, continuously jumping on vols, very treat motivated and smart - so might initially come across as JM. Both OA and JM behaviors were addressed through repetition of sit, very treat motivated.  Though she might be a little much for an unexperienced L1 volunteer.  She has the potential to calm down some if she gets time outside to release that pent up energy.  She can learn sit (if she hasn't mastered it yet).  She jumps and bounces when excited. She will also roll around the floor, like roll over.  She is like that one kid in kindergarten who needs extra minutes of play time or they'll be disruptive in class when everyone else wants a nap.  She does well on a leash, so maybe even a good DFTD candidate for someone who wants to go on a hike.  One to watch, but encouraging other vols to spend time with her so she may not need to be leveled up.  Also a great candidate for PG.",In Shelter Volunteer Observation,6/10/2025,11:52 AM
627,Intake,A0053612126,6/10/2025 easily handled,Staff Observation,6/10/2025,02:41 PM
628,Focus Group,A0058613596,"6/10/2025 Very wiggly and happy at the gate. Easily leashed. Gets nervous walking on leash, go slow. In the Pathways office she solicited lots of affection from LR. SF meeting strangers, but did not take long to open up. LOVES tennis balls. Very sweet, shy girl. No issues re-kenneling.  Rec: L3-SF, daily socialization enrichment. ",Staff Observation,6/10/2025,03:57 PM
629,Intake,A0058673772,"6/10/2025 Easily handled in intake, during exam, was very mouthy to the point of bruising.",Staff Observation,6/10/2025,04:39 PM
630,Focus Group,A0058316435,"6/10/2025 Easy in and out of her kennel. She's jumpy, but not mouthy. Very sweet, allows for pets all over, solicits affection, and is playful. Hackles raised and wagging flag tail when meeting dog through the fence. In the same play yard she was nervous, hackles still raised, tense, erect tail. She was okay co-existing as long as she didn't get too close. When attempting to get her to sniff the other dog she began to fixate and gave a low growl. Separated out of precaution.  Rec: L2-OA SLOW INTROS",Staff Observation,6/10/2025,05:46 PM
631,General Information,A0058577701,"6/11/2025 Doing much better, has decompressed a lot. Observed loose body language when approached and a wagging tail. Solicits affection through the kennel bar doors.",Staff Observation,6/11/2025,09:24 AM
632,Focus Group,A0058483232,nan,Staff Observation,6/11/2025,11:52 AM
633,Intake,A0058679072,"6/11/2025 Easily handled in intake kennel. Once in exam room her tail was tucked & she walked low to the ground. Showing signs of stress/fear, startles easily, tense muscles, frozen at times. ",Staff Observation,6/11/2025,01:20 PM
634,Intake,A0058682196,6/11/2025 Easily handled in intake kennel & during exam. ,Staff Observation,6/11/2025,04:51 PM
635,General Information,A0058577701,"6/11/2025  Observed loose body language when approached and a wagging tail. Solicits affection through the kennel bar doors and allowed pets. Able to leash to courtyard, a little hesitant but no problem. Once in courtyard, sniffed around on leash shortly after began to engage in pets and rubs. I stopped petting to see if she would initiate to which she did. She would listen to basic commands like 'come on' was able to be re-kenneled and unleashed with no problem.",Staff Observation,6/11/2025,05:26 PM
636,Intake,A0058686635,6/12/2025 Easily handled in intake and exam,Staff Observation,6/12/2025,05:38 PM
637,Request Level Change (Down),A0058316435,"6/12/2025 Easy in and out of her kennel. She's jumpy, but not mouthy. Very sweet, allows for pets all over, solicits affection, and is playful. Hackles raised and wagging flag tail when meeting dog through the fence. In the same play yard she was nervous, hackles still raised, tense, erect tail. She was okay co-existing as long as she didn't get too close. When attempting to get her to sniff the other dog she began to fixate and gave a low growl. Separated out of precaution. Rec: L2-OA SLOW INTROSVarious tests with Supervisor Mari and manager Cindy.  Canine seems to be fine on leash.  Will occasionally jump on a person for affection.  No mouthing seen.  Became slightly stiff around dogs through the gate but had previous good notes in playgroups just needs calmer dogs.  Leveling down to L2-M&G  ",Leveling,6/12/2025,05:50 PM
638,Request Level Change (Down),A0058340859,"6/13/2025 Staff rec L1, Has come around, greets eagerlyWhile Erin greets people eagerly to be taken on walks, she remained still with her tail upright the entire assessment today.  Allowed body pets, would occasionally do a small wag and lean on me, but body language was not loose enough to consider level 1 at this time.  She is also not confident around other dogs at this time.  Easy to walk, leash, and unleash.  Takes treats gently.  Removing SF and making her L2 alone until we do additional assessments. -CW",Leveling,6/13/2025,01:30 AM
639,Intake,A0058663456,6/13/2025 Was hissing but able to be handled for the exam.,Staff Observation,6/13/2025,11:41 AM
640,Request Level Change (Down),A0058308340,"6/13/2025 No longer SF, slightly dog reactive - ShelbyNo SF behavior seen.  Pulls a bit at the leash, dog reactive through the kennel.  Needs a dog assessment.  Does stiffen and flag tail at times when being pet.  If she offers affection of her own will then she is more tolerant.  With previous notes on negative reactions around children and dog, we need to assess her with other dogs and mark her as no children.  I'm changing from L3-SF to L3-BH/DR right now. -CW",Leveling,6/13/2025,12:42 PM
641,Daily Observations,A0058577701,6/13/2025 Mari is able to take California out daily where she solicits affection.  California has only charged at and bared teeth to others.  Cindy stood outside of fence to courtyard earlier and California would see her but then walk and sit next to Mari.  Cindy may try to see if she will open up to others at some point.  Remaining Staff only at this time.,Staff Observation,6/13/2025,03:50 PM
642,Daily Observations,A0058578043,6/13/2025 Actively lunges and barks at all handlers.  Cindy has been trying to be around him daily to see if he will decompress or accept her as okay to be around.  Needs physical exam because he smells badly and many flies have been around him.  Possible scaring from collar and skin flaps.  So far no progress to be able to make contact.  ,Staff Observation,6/13/2025,03:54 PM
643,Request Level Change (Down),A0058613596,"6/13/2025 Very wiggly and happy at the gate. Easily leashed. Gets nervous walking on leash, go slow. In the Pathways office she solicited lots of affection from LR. SF meeting strangers, but did not take long to open up. LOVES tennis balls. Very sweet, shy girl. No issues re-kenneling. Rec: L3-SF, daily socialization enrichment.I woke her up when I entered 401 area and initially Gumdrop barked and bared teeth.  However, when I bent down and talked gently to her she began wagging her tail.  Easy to leash and walk.  Asked for affection by nudging my hands and leaning her body on me.    Leveling down to L3 SD for now. -CW",Leveling,6/13/2025,04:01 PM
644,Intake,A0053312831,6/13/2025 Easily handled in intake and exam,Staff Observation,6/13/2025,04:39 PM
645,General Information,A0058695811,"6/14/2025 Does not like to leave pups, growls when approached. Very food motivated able to toss treats to be leash to courtyard and allows unleashing in yard. ",Staff Observation,6/14/2025,10:24 AM
646,Intake,A0058706791,6/14/2025 Easily handled in intake kennel & during exam.,Staff Observation,6/14/2025,04:53 PM
647,Intake,A0058711155,6/15/2025 Easily handled in intake and exam,Staff Observation,6/15/2025,04:46 PM
648,Write Up,A0058625088,"6/16/2025 Leveled up to L3-SF was L2. Yesterday a vol went to take out for photos, he stopped outside and would not move, went out to assist and he was panting, stressed and uncomfy. Decided carrying was the only was to get him to move, wrapped his muzzle with my leash and picked up. Okay to pick up but would not be comfy doing so without his muzzle wrapped. Got him into the photo room and he low growled as I set him down. Got his photo, low growled once, muzzled with leash again and had to carry back to run. Was fine placing in run.",Staff Observation,6/16/2025,09:41 AM
649,Intake,A0058663424,6/16/2025 Hissing during intake and exam,Staff Observation,6/16/2025,04:26 PM
650,Intake,A0058663440,6/16/2025 Hissing during exam and in intake.,Staff Observation,6/16/2025,04:33 PM
651,Intake,A0057901651,6/17/2025 Easily handled,Staff Observation,6/17/2025,08:38 AM
652,Write Up,A0058029394,"6/17/2025 Kennel stressed- painting kennel, will put in traz req",Staff Observation,6/17/2025,10:11 AM
653,Focus Group,A0058668136,"6/17/2025 6/17/2025-SP/LR Doing better, severe bruising all over body.  Not comfortable leashing while injured.  Took treats gently at the gate and licks hand through the gate.  Doing a medical write up with retest after.  ",Staff Observation,6/17/2025,02:12 PM
654,Intake,A0057597695,6/17/2025 Easily handled both in the kennel and during the exam. ,Staff Observation,6/17/2025,06:17 PM
655,Focus Group,A0058625088,6/17/2025 6/17/2025 - SP/LRRequesting Traz. Scared of leash.  Will allow brief pets w/kennel door open.  Scared/anxious.  Retreats. Re-test,Staff Observation,6/17/2025,06:36 PM
656,Focus Group,A0058344455,6/18/2025 Extreme kennel stress.  Focus group to determine best outcome.  Needs out ASAP.  L1 cancelled-in foster,Staff Observation,6/18/2025,10:36 AM
657,Intake,A0058722586,6/18/2025 easily handled while in intake and during exam.,Staff Observation,6/18/2025,11:34 AM
658,Intake,A0058722499,6/18/2025 easily handled during exam.,Staff Observation,6/18/2025,11:39 AM
659,Intake,A0058728472,6/18/2025 easily handled while in intake and during exam.,Staff Observation,6/18/2025,01:46 PM
660,Intake,A0058728393,6/18/2025 very nervous shaking cowering go slow while in intake. once in the exam room opened up muzzled out of precaution couldn't complete HW test or microchip during exam.,Staff Observation,6/18/2025,03:45 PM
661,Intake,A0058732049,6/18/2025 easily handled while in intake and during exam.,Staff Observation,6/18/2025,05:27 PM
662,Intake,A0058734729,6/19/2025 shy go slow but easily handled while in intake and during exam.,Staff Observation,6/19/2025,01:17 PM
663,Intake,A0058740012,6/19/2025 Easily handled in intake and exam,Staff Observation,6/19/2025,03:40 PM
664,Intake,A0058735374,6/19/2025 no aggression very sweet but hard time walking due to fear overreacts to everything while in intake and during exam.,Staff Observation,6/19/2025,04:22 PM
665,Intake,A0058756423,6/21/2025 easily handled hand off from ff while in intake easily handled during exam.,Staff Observation,6/21/2025,03:38 PM
666,Daily Observations,A0058578043,6/21/2025 Have been working with this canine every day.  Had terrible BR for weeks.  He will now have slight BR with me and takes treats gently.  Nebraska will allow Arisha and Cindy to take him to the yard.  Today he enjoyed the swimming pool to cool off.  Hoping to give him a bath one of these days.  He allows brief touches to his back but is mostly aloof. -CW,Staff Observation,6/21/2025,03:47 PM
667,Daily Observations,A0058577701,6/21/2025 Been working with Canine daily outside of kennel doors.  Today she solicited some affection but had a small growl like she was unsure.  California still loves Mari and gets excited to see her.  Warming up to Cindy slowly. -CW,Staff Observation,6/21/2025,03:51 PM
668,Daily Observations,A0058577751,"6/21/2025 Can be walked without issue, can be pet.  No behavioral problems to address.  Seems to have health concerns -CW",Staff Observation,6/21/2025,03:55 PM
669,Intake,A0058754202,6/21/2025 acts semi friendly with some barking when approached but when a leash or catch pole is in  hand he lifts his hackles and growls while in intake. Hackles and growling while in intake. ,Staff Observation,6/21/2025,04:23 PM
670,Intake,A0058754247,6/21/2025 easily handled but very timid while in intake. Slow moving frightened by everything but no aggression during exam. Signs of stress/fear startles easily tense muscles frozen stuck in place hiding while in intake and during exam.,Staff Observation,6/21/2025,04:53 PM
671,Intake,A0058754218,6/21/2025 easily handled but fearful (not of people) peed on floor in fear hard to walk but will walk while in intake. fear pees a lot but easily handled while in intake. signs of stress/fear startles easily tense muscles urination/defecation frozen stuck in place hiding while in intake and during exam.,Staff Observation,6/21/2025,05:03 PM
672,Intake,A0058754236,6/21/2025 easily handled while in intake and during exam.,Staff Observation,6/21/2025,05:08 PM
673,Level Up/ Acronym Change,A0058316435,6/22/2025 Two kennel staff stated that Sunny is jumpy/mouthy when on leash. Added JM to level. - Ashley M,Leveling,6/22/2025,12:27 PM
674,Intake,A0057969563,6/22/2025 Easily handled while in intake and during exam.,Staff Observation,6/22/2025,01:07 PM
675,Intake,A0058757108,"6/22/2025 Very nervous and frozen while in intake, no aggression shown. shaking, constant whining during exam.",Staff Observation,6/22/2025,02:06 PM
676,Intake,A0053911720,6/22/2025 Easily handled while in intake and during exam.,Staff Observation,6/22/2025,03:19 PM
677,Intake,A0058762135,6/23/2025 Easily handled while in intake and during exam.,Staff Observation,6/23/2025,12:59 PM
678,Intake,A0058762439,6/23/2025 Easily handled while in intake and during exam.,Staff Observation,6/23/2025,04:39 PM
679,Write Up,A0058668136,"6/24/2025 Approached her from the inside of kennel. Took treats from me and tried to lightly nibble on my hand. Leashed with no problems and brought out to yard. Left leash on her but allowed her to run around. She got the zoomies, very sweet and allowed pets. Would come up to me for more. Exhibited some OA behavior but was able to calm herself down. Recommend L3-OA and slowly progress downward. ",Staff Observation,6/24/2025,10:08 AM
680,Write Up,A0058735374,"6/24/2025 Displaying signs of kennel stress - jumping, painting in kennel",Staff Observation,6/24/2025,11:08 AM
681,Focus Group,A0058668136,nan,Staff Observation,6/24/2025,02:15 PM
682,Intake,A0053626727,6/24/2025 easily handled in the kennel and during the intake exam. ,Staff Observation,6/24/2025,02:49 PM
683,Intake,A0058763780,6/24/2025 easily handled,Staff Observation,6/24/2025,03:10 PM
684,Intake,A0058766779,6/24/2025 Easily handled in intake kennel & during exam. ,Staff Observation,6/24/2025,03:20 PM
685,Focus Group,A0058625088,"6/24/2025 Will allow brief pets inside of his kennel. Dodges the leash. Takes treats gently. Once we were finally able to leash him he froze, cowered in the corner. Able to get him to the play yard where he froze in the corner. He will flinch when touched and lip chatters. Able to put a collar on him to try a clip leash in the future. Very anxious and shy/fearful.  Rec: Re-test and continue Traz. Daily socialization enrightment.",Staff Observation,6/24/2025,03:30 PM
686,Request Level Change (Down),A0058262189,6/24/2025 Leah Ann recently went on a long term foster with a male. She did great with him upon meeting him and had no stranger danger with him or anyone in the lobby. He fell in love with her but had to bring her back due to breed restrictions. No male aggression was seen by the male foster. No change at this time. Went to foster home. MH,Leveling,6/24/2025,06:27 PM
687,Level Up/ Acronym Change,A0055649438,6/25/2025 Should have been leveled up months ago. SD and BR. ,Leveling,6/25/2025,10:42 AM
688,Intake,A0058778619,6/25/2025 Easily handled in intake kennel & during exam. ,Staff Observation,6/25/2025,02:20 PM
689,Intake,A0058771442,6/25/2025 Easily handled in intake kennel & during exam,Staff Observation,6/25/2025,02:40 PM
690,Write Up,A0056311146,6/26/2025  Was trying to leash libra to take outside pacing kennel not wanting to come out / be leashed. He lunged up and bit wrist after attempting to be leashed a second time.,Staff Observation,6/26/2025,11:19 AM
691,Intake,A0058782548,6/26/2025 easily handled while in intake and during exam.,Staff Observation,6/26/2025,06:35 PM
692,Request Level Change (Down),A0058619294,6/26/2025 VOL W/U 6/22/25 NOT SHY FEARFUL AT ALL. She is scared to jump out of her top shoreline but she needs to be leveled down. She is small and insanely friendly and L2 is keeping her from being interacted with.  No change at this time. Went to foster home. MH,Leveling,6/26/2025,07:06 PM
693,Request Level Change (Down),A0058340859,6/26/2025 VOL w/u 6/22/25 Several weeks of volunteer notes indicating she is not L2. All of her behavior (including with young children) that I've seen indicates she is an incredibly easy dog. No change at this time. Went to foster home. MH,Leveling,6/26/2025,07:07 PM
694,Intake,A0058794551,6/27/2025 easily handled while in intake and during exam.,Staff Observation,6/27/2025,08:51 AM
695,Level Up/ Acronym Change,A0058536166,6/27/2025 Staff report leash biting behavior from Chocolate Swirl. Changed from L1 to L2 - LB. - Ashley McMahon,Leveling,6/27/2025,04:25 PM
696,Intake,A0058795005,6/28/2025 easily handled while in intake and during exam.,Staff Observation,6/28/2025,07:50 AM
697,Intake,A0058795391,"6/28/2025 Very scared & snappy when attempting to leash from shoreline kennels. She was moved to a run & her behavior improved, doesn't do well in shorelines. Go slow. Easily handled during exam. Muzzled for precaution. ",Staff Observation,6/28/2025,04:30 PM
698,Intake,A0055806684,6/29/2025 Easily handled while in intake and during exam,Staff Observation,6/29/2025,11:46 AM
699,Request Level Change (Down),A0058757108,6/29/2025 Suggesting re-leveling to L1. Very easy to leash and re-kennel. A bit shy but warms up quickly. No body handling issues. Went to foster. No change in level until he returns-MH,Leveling,6/29/2025,02:06 PM
700,Write Up,A0058463804,"6/30/2025 beginnings of kennel stress, starting to paint",Staff Observation,6/30/2025,11:03 AM
701,Intake,A0058809387,6/30/2025 Easily handled but very nervous while in intake. Go slow. Was unable to complete HW test and Dapp due to skin.,Staff Observation,6/30/2025,01:20 PM
702,Intake,A0058817270,7/1/2025 easily handled while in intake and during exam.,Staff Observation,7/1/2025,05:42 PM
703,Intake,A0058817285,7/1/2025 easily handled while in intake and during exam.,Staff Observation,7/1/2025,05:49 PM
704,Intake,A0058817316,7/1/2025 easily handled while in intake and during exam.,Staff Observation,7/1/2025,05:57 PM
705,Intake,A0058820168,"7/2/2025 Showing signs of stress/fear, very nervous & whale eyed in kennel. Cowering in the corner & frozen, won't walk but can be picked up/carried with no issues. Seems very shut down. No aggression shown.Easily handled during intake exam.  ",Staff Observation,7/2/2025,12:43 PM
706,Intake,A0058820818,7/2/2025 Easily handled in intake kennel & during exam. ,Staff Observation,7/2/2025,01:55 PM
707,Intake,A0058822047,7/2/2025 Easily handled in intake kennel & during exam. ,Staff Observation,7/2/2025,03:15 PM
708,Intake,A0058831027,7/2/2025 Very scared during intake exam. Hissing while attempting to scratch.,Staff Observation,7/2/2025,05:05 PM
709,Intake,A0058831101,7/3/2025 easily handled while in intake and during exam.,Staff Observation,7/3/2025,01:05 PM
710,Intake,A0058836179,7/3/2025 Easily handled,Staff Observation,7/3/2025,04:17 PM
711,Intake,A0058836182,7/3/2025 Easily handled,Staff Observation,7/3/2025,04:28 PM
712,Write Up,A0056311133,7/3/2025 7/3/2025 SP Cancer is scatter fed as a form of enrichment and because he always knocks his bowl over,Staff Observation,7/3/2025,06:27 PM
713,General Information,A0056311133,7/3/2025 7/3/2025 SPCancer is scatter fed as a form of enrichment and because he always knocks his bowl over,Staff Observation,7/3/2025,06:28 PM
714,Intake,A0058838252,7/4/2025 easily handled while in intake and during exam.,Staff Observation,7/4/2025,03:00 PM
715,Intake,A0058838236,7/4/2025 shy but easily handled while in intake and during exam.,Staff Observation,7/4/2025,03:05 PM
716,Intake,A0058841665,7/4/2025 easily handled while in intake and during exam.,Staff Observation,7/4/2025,04:24 PM
717,Request Level Change (Down),A0058728393,"7/5/2025 Vol w/u 7/4/2025 ""Request move to L1. Welcome is not cowering or hiding. When opening the kennel door is ready to be leashed and walked. No issues when walking by other dogs in yards. Slow walked around outside yard and pasture. Easy return "" Changed to L1 - No shy behaviors observed - Naomi",Leveling,7/5/2025,09:54 AM
718,Request Level Change (Down),A0058340859,7/5/2025 VOL W/U 6/29/25Multiple volunteers requesting level down to L1 in ASANA.  Please re-access and L1 rec Did well on her walk today and was happy to meet other people.  Still needs to be assessed with other dogs from initial reactions.  I'll request an assessment.  With people she is L1.  Pending printing new KC until we see how she does with other dogs. -CW No change at this time. Went to foster home. MH,Leveling,7/5/2025,11:56 AM
719,Request Level Change (Down),A0058613596,"7/5/2025 requesting leveling down from L3 SD to L2 BR. during my observations and hand on handling, I've noticed she allows easy leashing and during walks doesn't bark, growl or act intimidated/fearful by anyone passing or greeting. she greets all people on own free will. lose body and waggy tail. accepts treat when given. appears she may be stranger danger but really think its all barrier reactive. once out of kennel a complete different demeanor.  ashley love Because Gumdrop knows me now she is very wiggly at the gate and loves to go on walks and lean into me.  She can sometimes be SD to newer people coming around.  She will allow for pets all over but at times will tense just a little and pick a lip but it is in almost a peaceful way.  I do not think she was socialized much before so I would recommend a household with no children to be on the safe side.  She loves walking up to team members and asking for affection and will just look at children and walk past.  No aggression seen but I think quick movements or loud noises may affect her.  Leveling to L2-SD  -CW",Leveling,7/5/2025,01:14 PM
720,Intake,A0058812055,7/5/2025 easily handled while in intake and during exam.,Staff Observation,7/5/2025,01:27 PM
721,Request Level Change (Down),A0058455126,7/5/2025 volunteers report he no longer shows SF behaviors No SF behaviors displayed.  Pulls hard but no issues seen walking past others or canines. -CW,Leveling,7/5/2025,02:01 PM
722,Intake,A0058844546,7/5/2025 Easily handled while in intake and during exam.,Staff Observation,7/5/2025,03:49 PM
723,Intake,A0058846611,7/6/2025 Easily handled while in intake and during exam.,Staff Observation,7/6/2025,01:48 PM
724,Intake,A0058846624,7/6/2025 Easily handled while in intake and during exam.,Staff Observation,7/6/2025,01:57 PM
725,Intake,A0058847356,7/6/2025 Easily handled while in intake and during exam.,Staff Observation,7/6/2025,02:11 PM
726,Intake,A0058848637,7/6/2025 Easily handled while in intake and during exam.,Staff Observation,7/6/2025,03:05 PM
727,Intake,A0058850516,7/6/2025 Easily handled while in intake and during exam.,Staff Observation,7/6/2025,04:10 PM
728,Intake,A0056311140,7/6/2025 Easily handled while in intake and during exam.,Staff Observation,7/6/2025,04:53 PM
729,Intake,A0058853857,7/7/2025 easily handled,Staff Observation,7/7/2025,01:45 PM
730,Intake,A0058842975,7/7/2025 Easily handled,Staff Observation,7/7/2025,05:08 PM
731,Intake,A0058843072,7/7/2025 Easily handled,Staff Observation,7/7/2025,05:13 PM
732,Intake,A0058859028,7/7/2025 easily handled,Staff Observation,7/7/2025,06:16 PM
733,Intake,A0058859024,7/7/2025 easily handled,Staff Observation,7/7/2025,06:20 PM
734,Intake,A0058855116,7/8/2025 Easily handled in intake kennel & during exam. ,Staff Observation,7/8/2025,03:42 PM
735,Intake,A0058855489,"7/8/2025 Very nervous & showing signs of stress/fear, & whale eye in kennel but no aggression shown. Otherwise easily handled in kennel & during exam. ",Staff Observation,7/8/2025,03:45 PM
736,Intake,A0058856656,"7/8/2025 Very nervous, showing signs of stress/fear, trembling, whale eye, ducking, frozen, & growling in kennel when attempting to leash. Muzzled for precaution during exam. ",Staff Observation,7/8/2025,04:57 PM
737,Intake,A0058858235,7/8/2025 Hyper in intake kennel but still easily handled.Once in the exam room he became very hyperactive & began barking with stiff body language. Muzzled for precaution during exam. ,Staff Observation,7/8/2025,05:20 PM
738,Focus Group,A0055806684,"7/9/2025 See notes and determine placement options BB 7/1/25 SP 7/9/25-Reviewing all notes on pup the owners parents dog attacked this pup.  Looking for a medical foster, pup seems dumpy and sad, and in pain.",Staff Observation,7/9/2025,06:12 AM
739,Intake,A0058850516,7/9/2025 Changing level to OA/BR. Hyperactive & constantly jumping in kennel. Alarm barks & very reactive to people/dogs passing by kennel. ,Staff Observation,7/9/2025,07:57 AM
740,Intake,A0058870352,"7/9/2025 very nervous, Won't walk has to be carried. Easily handled during the intake examSigns of stress/fearTense musclesFrozen/Stuck in placeRunning awayWhale eye",Staff Observation,7/9/2025,03:50 PM
741,Intake,A0058870361,"7/9/2025 Very nervous, has to be carried. Easily handled during the intake exam. Signs of stress/fearTense musclesFrozen/stuck in placeRunning awayWhale eye",Staff Observation,7/9/2025,03:55 PM
742,Intake,A0058870368,7/9/2025 Very nervous has to be carried. Easily handled during the intake exam. Signs of stress/fearTense musclesFrozen/Stuck in placeRunning awayWhale eye,Staff Observation,7/9/2025,04:05 PM
743,Intake,A0058870423,7/9/2025 easily handled,Staff Observation,7/9/2025,04:13 PM
744,Intake,A0058867555,7/9/2025 Easily handled in intake kennel & during exam. ,Staff Observation,7/9/2025,04:38 PM
745,Intake,A0058872755,7/10/2025 easily handled while in intake and during exam.,Staff Observation,7/10/2025,02:29 PM
746,Intake,A0058869732,7/10/2025 easily handled,Staff Observation,7/10/2025,02:59 PM
747,Request Level Change (Down),A0058535722,7/11/2025 easily removed and replaced in kennel. no jumpy/mouthy behavior observed7.11.25- Still JM with new handlers,Leveling,7/11/2025,02:22 PM
748,Intake,A0058875618,7/11/2025 very protective of pups go slow when leashing very food motivated very stressed in kennel may be BE hard to tell if she is just being protective alarm barking growling hard staring while in intake muzzled for precaution during exam.unable to focus/redirect signs of stress/fear tense muscles.,Staff Observation,7/11/2025,04:36 PM
749,Write Up,A0056298384,"7/11/2025 Regarding the bite on 7/8: Kennel tech was running Dumplin from the ISO courtyard to her kennel (without a leash). Dumplin went into the kennel, the tech started to close the door, and Dumplin tried to get out. The tech pushed on Dumplin on the neck to keep her in the kennel. Dumplin turned and bit the tech's hand. - Ashley McMahon",Staff Observation,7/11/2025,05:14 PM
750,Intake,A0058879473,7/11/2025 Easily handled in intake kennel. Muzzled for precaution during exam.,Staff Observation,7/11/2025,08:02 PM
751,Intake,A0058879483,"7/11/2025 Slightly nervous in kennel, go slow when leashing. Otherwise easily handled. Showing signs of stress/fear once in exam room. Just needs a minute to warm up. Easily handled during exam.",Staff Observation,7/11/2025,08:06 PM
752,Intake,A0058612311,7/11/2025 Easily handled in intake kennel & during exam,Staff Observation,7/11/2025,08:22 PM
753,Daily Observations,A0058578043,"7/12/2025 Doing well, has had decompression. Progress made is significant. Able to be leashed to the court yard, able to be pet, solicits affection/attention, sometimes jumping up in excitement. Nebraska is still BR when meeting new people but sweet when he is comfortable with you.",Staff Observation,7/12/2025,09:33 AM
754,Intake,A0058884817,7/12/2025 Easily handled while in intake and during exam.,Staff Observation,7/12/2025,12:16 PM
755,Intake,A0058886517,7/12/2025 Easily handled while in intake and during exam.,Staff Observation,7/12/2025,12:28 PM
756,Intake,A0058882547,7/12/2025 Easily handled while in intake and during exam.,Staff Observation,7/12/2025,12:48 PM
757,Intake,A0058897336,"7/12/2025 snappy during vetting, Muzzled for precaution ",Staff Observation,7/12/2025,04:35 PM
758,Intake,A0058896193,"7/13/2025 signs of stress/fear and tense muscles while in kennel. Startles easy to loud noises, fast movements and random touches without warning. Warmed up once in exam room but would urinate when approached. Did not like vetting.",Staff Observation,7/13/2025,03:46 PM
759,Intake,A0058875360,7/13/2025 Hissed and growled during intake and exam. ,Staff Observation,7/13/2025,05:05 PM
760,Intake,A0058896630,nan,Staff Observation,7/13/2025,05:17 PM
761,Intake,A0058896630,7/13/2025 Easily handled,Staff Observation,7/13/2025,05:17 PM
762,Intake,A0058896583,7/13/2025 Easily handled,Staff Observation,7/13/2025,05:23 PM
763,Intake,A0058896569,7/13/2025 Easily handled,Staff Observation,7/13/2025,05:29 PM
764,Intake,A0058896569,7/13/2025 Easily handled,Staff Observation,7/13/2025,05:30 PM
765,General Information,A0058308340,7/14/2025 observed topochica lifting guillotine by biting at metal frame. moved to indoor/outdoor for safety. very dog reactive - fixated and is very challenging to refocus. ,Staff Observation,7/14/2025,01:22 PM
766,General Information,A0058763780,"7/14/2025 very loose and wiggly. keeps his kennel tidy and walks nicely on leash. in the yard he got the zoomies and jumped on me, but respected when i turned my back to him and disengaged. non reactive to dogs",Staff Observation,7/14/2025,01:32 PM
767,General Information,A0058706791,7/14/2025 high energy when coming out of kennel. displayed loose and wiggly body language & offered play bow to dog in neighboring yard. very excitable but easy to redirect and calm down. ,Staff Observation,7/14/2025,01:33 PM
768,Intake,A0058903060,7/14/2025 Easily handled while in care and during exam.,Staff Observation,7/14/2025,03:20 PM
769,Intake,A0058903073,7/14/2025 Easily handled while in intake and during exam.,Staff Observation,7/14/2025,03:25 PM
770,Intake,A0058903045,7/14/2025 Easily handled while in intake and during exam.,Staff Observation,7/14/2025,03:38 PM
771,Intake,A0058900098,7/14/2025 Easily handled while in intake and during exam.,Staff Observation,7/14/2025,03:44 PM
772,Intake,A0058900557,7/14/2025 Easily handled while in intake and during exam.,Staff Observation,7/14/2025,03:50 PM
773,Intake,A0058905604,7/14/2025 Easily handled while in care and during exam.,Staff Observation,7/14/2025,04:08 PM
774,Intake,A0058901520,7/14/2025 Easily handled but muzzled as a precaution for exam. doesn't like vetting.,Staff Observation,7/14/2025,04:13 PM
775,Intake,A0058886161,"7/14/2025 Hissing, growling, running away (intake and exam).",Staff Observation,7/14/2025,05:14 PM
776,Intake,A0058875378,"7/14/2025 Hissing,growling, running away",Staff Observation,7/14/2025,05:41 PM
777,Intake,A0058907624,7/14/2025 easily handled,Staff Observation,7/14/2025,06:42 PM
778,Intake,A0058907641,7/14/2025 easily handled,Staff Observation,7/14/2025,06:52 PM
779,Intake,A0058907641,7/14/2025 easily handled,Staff Observation,7/14/2025,06:53 PM
780,Intake,A0058907633,7/14/2025 easily handled,Staff Observation,7/14/2025,06:58 PM
781,Intake,A0058907658,7/14/2025 easily handled,Staff Observation,7/14/2025,07:00 PM
782,Intake,A0058902637,7/15/2025 Easily handled in intake kennel & during exam. ,Staff Observation,7/15/2025,04:26 PM
783,Intake,A0058907750,"7/15/2025 Easily handled in intake kennel.Friendly at first once in exam room but alternated between aggression & friendly. Low growling, tense muscles, whale eye & head whipping when checking skin/body. He then began guarding Allie & lunging when anyone else got too close. Possible BH/RG (of people) issues.  ",Staff Observation,7/15/2025,05:14 PM
784,Intake,A0058904100,7/15/2025 easily handled while in intake and during exam.,Staff Observation,7/15/2025,05:45 PM
785,Intake,A0058912760,7/15/2025 Easily handled in intake kennel & during exam. ,Staff Observation,7/15/2025,05:47 PM
786,Intake,A0058912660,7/15/2025 Easily handled in intake kennel & during exam. ,Staff Observation,7/15/2025,05:54 PM
