,AnimalNumberDT,DogTest
269,A0059030945,"nan

nan

8/24/2025 Very excited in the catchpin. Came into the yard very friendly and immediately approached Chili Special giving her a kiss. He almost broke for play but never did. He was very silly and handler oriented. Just a huge goofball who needs socialization "
270,A0059031231,9/12/2025 shy gate greeting and came in the yard with a tucked tail but quickly warmed up and engaged in lots of physical play. was polite when engaging with new friends.
271,A0059031986,"8/8/2025 very confident. maintained loose body throughout assessment

nan"
272,A0059033724,nan
273,A0059042315,"8/13/2025 neutral with all dogs in the yard, tolerant of dogs checking him out but didn't have much interest in greeting them. would remove himself when dogs began playing nearby, he ended up laying by the fence for the duration of his assessment but was fine when dogs approached him to smell him. "
274,A0059044513,nan
275,A0059045109,nan
276,A0059047525,"8/29/2025 very neutral throughout playgroup. greeted dogs nicely and showed some interest when energy of the yard raised - very bouncy run to chase after sly, but disengaged when chase stopped, then preferred to be independent. could be a little vocal but was pretty polite about it. "
277,A0059047527,"nan

9/1/2025 Guillermo had great body language and was tolerant of the other dogs jumping on him and being all up in his face. He was wiggly the whole time but kept to himself. Was happy to be outside and very friendly. "
278,A0059047534,"nan

9/1/2025 Celia had great body language and was tolerant of the other dogs jumping on her and being all up in her face. She was a mellow, chill girl who was wiggly the whole time. Was happy to be outside and very friendly. "
279,A0059050743,"nan

9/1/2025 Sweetalla was nervous from the beginning, hesitant to join the yard so kept the dogs pulled back from her face. Where ever Amber would move Sweetalla would quickly follow. Had no interest in engaging with the other dogs, was tolerant of other dogs sniffing her. Tail tucked the whole time. "
280,A0059053506,"8/31/2025 Extremely energetic, rambunctious, wild puppy. Not afraid of any dogs bigger than him. He had no fear and enjoyed any dog that would play rough with him."
281,A0059055459,"8/13/2025 nervous initially. warmed up and played very politely with danny phantom. attempted to play with prudence a few times. prudence grabbed hold of ruffetta and began growling at her, receiving no reaction from ruffetta. let red boy jump on top of her, again engaging in very polite play. was adaptable and social, though confidence is slightly lacking. met 10 dogs total and did well with all"
282,A0059057788,"nan

9/1/2025 Annaebelle has high puppy energy! She just wants to go go go while in the yard. She would play with any dog that was willing to tolerate her rough playstyle. Lots of chasing, paw play, play bows, body slamming. "
283,A0059059299,"nan

8/18/2025 Came into the yard very avoidant of all dogs. As soon as a dog approached him he would retreat to a corner to hide. He gave great corrections when they would get too close to his space. No offensiveness just very shy and under socialized. "
284,A0059060477,8/26/2025 hyperfocused on mr. oreo and jasper when he was in the catchpin. came into the yard and was trying to mount and neck all the dogs. he has zero aggression but would not stop trying to mount all the dogs so we removed him from the yard. he wasnt easy to redirect off the dogs once he mounted.
285,A0059061882,"nan

8/26/2025 came into the yard scared initially but quickly broke for play. he listens well to the other dogs corrections. hes very confident and has great body language the whole time. we kept him in the yard longer due to his tolerance and great play style"
286,A0059062583,nan
287,A0059064014,"nan

8/31/2025 Cautious and alert at first but then became curious and broke for play. He was very awkward yet patient and tolerant of all the other dogs."
288,A0059068647,"nan

8/24/2025 Very reserved at first but broke for play. Lots of paw play, fast wagging tail, and very hoppy. She was also very awkward at the same time and was start playing and then stop confusing the other dogs"
289,A0059068907,nan
290,A0059069137,"nan

8/31/2025 Bamboo is a calmer older lady who enjoys to roam the yard alone but was fine coexisting with the other dogs in the yard. "
291,A0059069720,9/28/2025 Pecan came into the yard and immediately began going to the bathroom (super holder?) She was very tolerant of the other dogs around her and would randomly do a couple play bows but then would disengage from the attention of the other dogs. Coexisted very well and continued to be tolerant the whole time in the yard.
292,A0059069956,8/24/2025 Rills came in confident and very social. She was great with all play styles and adapted to the other dogs energy levels. She gives great corrections. We kept her out the whole time and she’s a future helper/greeter.
293,A0059070942,"nan

9/1/2025 Starry had positive gate greetings and came into the yard ready to explore. She was aloof in the yard, mainly just sniffing. She was fine to coexist with the other dogs but did not engage in play. She was curious and enjoyed being outside. Could see her being tolerant in the gentle yard."
294,A0059071245,"9/12/2025 not steerable. very stiff, lip licking, posturing over dogs, full body hackles and flagged tail. volunteer removed her from the yard before any incidents, will need another assessment to determine sociability with dogs"
295,A0059076505,"9/12/2025 friendly during greetings, kept moving back and forth between engaging with dogs and being at the fence whining. "
296,A0059076639,8/18/2025 Came into the yard very calm and gentle. She offered great corrections and did not want dogs in her face. She could coexist in a home with another calm dog.
297,A0059077476,"9/12/2025 greeted other dogs nicely, was a bit pushy in the sense that he was very interested in thoroughly greeting other dogs even if they began walking away but afterwards he explored the yard independently and coexisted with other dogs well"
298,A0059079840,"nan

8/18/2025 Came into the yard and slowly approached falconoid. She sniffed curiously but quickly disengaged and walked away. She was very avoidant of all dogs. Tolerant but cautious of other dogs."
299,A0059080643,8/26/2025 barked out of excitement in the catchpin. she came into the yard with four dogs and was very wiggly with loose body language. shes a vocal player and had alot of fun. kept her out the whole time due to her tolerance and playstyle. future h/g
300,A0059080810,"9/22/2025 came in hot, got growly with delaney (who is also vocal) when she engaged in play with him. made a few attempts to mount loyal but loyal is much taller so he never did more than jump up on him before giving up. was very bouncy and invasive with his play, but appeared to maintain playful behavior throughout assessment"
301,A0059083104,9/1/2025 Roman came into the yard on leash and we were protective of him because of his abscess. He was tolerant of the other dogs sniffing him and seemed interested in sniffing them. Still very shy and reserved. 
302,A0059083921,8/24/2025 Silly came into the yard very calm and relaxed. Once a dog approached her she immediately spazzed out into puppy play. Very high energy. Extremely physical player (but small).
303,A0059087305,nan
304,A0059089087,"9/12/2025 neutral at the gate, gave very stiff and awkward greetings once in the yard. Towards the end he threw a play bow but never engaged in the play going on in the yard. Barked at the players instead."
305,A0059089105,"9/9/2025 came in displaying whale eye and was stiff especially when dogs approached her. very unsure but started to loosen up a bit when the dogs weren't around. the forward approach from skippy may have been to overwhelming, adding to 1:1 soc. to aid in building confidence. "
306,A0059089132,"8/24/2025 Was showing very awkward and unpredictable behavior in the catchpin so we decided to muzzle Butterball. We brought him in with Chili Special on a loose leash. We brought him in on a loose leash and did a parallel walk around the yard with Chili Special. Chili sniffed him and he had no issue and showed no reaction so we removed the muzzle. Once the muzzle was off he became more relaxed and roamed the yard. He had no interest in other dogs, but he was completely fine coexisting."
307,A0059090536,nan
308,A0059091500,"nan

9/1/2025 Rocko had a moment of BR when coming into the catch pen with the dog in the pen behind him. Easily directable and was steerable once in the playgroup catch pen. Lots of paw play and chest bumping the other dogs. Would do better if more physical players were in the yard with him. "
309,A0059093469,"nan

9/1/2025 Chili was very fixated on dogs while he was walking up to the catch pen. Brought him in on leash as he was on high alert when he entering the yard. Was anxious in the yard after we dropped his leash, just pacing the perimeter. Allowed other dogs to approach him but showed no signs of wanting to play. Was whale eyed, and had slight hackles, never offered any corrections. Marking as 1:1 because he will need slow intros to learn how to socialize. "
310,A0059095523,"9/20/2025 very vocal in the pen. eager to play as soon as he entered yard. brought up energy in the yard, likes being chased; will incite dogs to chase him by rubbing against them. loves water"
311,A0059095636,8/24/2025 Loose and wiggly in the catchpin. Very social and physical player. Little humpy (heat seeking missile).
312,A0059095840,"9/1/2025 Marking inconclusive due to medical. He appears to be either super shut down or sick. Slow moving, lethargic, entered yard on leash out of precaution but he showed no negative signs. Just not sure if that is the whole picture. 

9/15/2025 Pumpkin Spice is a gentle giant who preferred to roam the yard alone. he would tolerate dogs approaching him but preferred to stay to himself. "
313,A0059096476,"nan

9/1/2025 Cranberri stayed close to handler in the catch pen but seemed interested in coming in the yard. She was initially stiff when dogs approached her but wiggly when they gave her space. She seems unsure of other dogs and does not know how to play. Could see potential in her moving to the gentle yard if given more time but never actually broke for play. "
314,A0059096501,nan
315,A0059097186,9/1/2025 Tabby had wiggly body language and wagged her tail at the gate greeting. Once in the yard she could care less about the other dogs and just wanted to sniff independently. She is quite aloof to what is going on around her. Never broke for play but was totally fine with the other dogs playing around her. 
316,A0059098443,8/26/2025 positive body language in the catchpin. came in and was very tolerant of all dogs. he was gentle with all the dogs but we removed him because he began hunting falconoid sexually.
317,A0059100213,"9/9/2025 neutral body when greeting other dogs. was in the yard with dogs of varying energy levels, was unbothered and mainly kept to himself. offered appropriate corrections to lowrider who kept attempting to mount him, was tolerant of dogs greeting him so long as it remained respectful. appeared very comfortable around dogs. "
318,A0059101291,8/31/2025 Doot Doot was very polite with his greetings. He was very calm and tolerant but never broke for play.
319,A0059101393,nan
320,A0059101512,"nan

9/9/2025 He was overwhelmed in the yard, lots of hackles as dogs approached him, warmed up slightly after a few minutes and was able to be tolerant in the yard when the dogs left him a space bubble. Did not offer any corrections or engage in play."
321,A0059101670,8/26/2025 Very awkward player and couldnt understand his body language initially. we realized hes just vocal and very rough and physical. Hes a bulldozer.
322,A0059101770,8/24/2025 Sparkle came into the yard very gentle and a little bit reserved. She was very friendly and respectful of all the dogs while playing.
323,A0059102424,"nan

9/20/2025 Bramble's runner told me that he was extremely br to his neighbors so the handlers in the yard were prepared to see that but he was corrected with the spray bottle and brought in on a long leash. Stiff at first with new dogs in the yard but overall did well, showed no corrections or weirdness. He is very much a start and stop tag style player, awkward yet curious. "
324,A0059104668,"8/29/2025 avoidant of face to face intros; turned her head, bared teeth. preferred to keep to herself. was fine to be out with other dogs as long as they gave her enough space - offered very appropriate correction when lyric lingered near her face. was eventually removed from the yard as the energy raised, but then she was pawing to come back in and then she just kept to herself slowly walking around the yard as the other dogs played. 

9/1/2025 Brandy wanted to keep to herself while in the yard, did not appreciate other dogs getting in her face. Would do well coexisting with other dogs but showed no interest in playing. She did not seem nervous, just laid back and wanted her own personal space."
325,A0059105728,"8/26/2025 gets overwhelmed quickly

nan"
326,A0059105810,"nan

8/31/2025 Very scared of the humans in the yard. Had a great gate greeting and come into the yard and began play bowing at the dogs in the yard. Very playful but then relaxes and then goes back for play. "
327,A0059106400,8/24/2025 Came into the yard shy and cautious but then she broke for play. She had a lot of fun and had permanent excited hackles the whole time.
328,A0059106761,"9/12/2025 good gate greetings, immediately came in and started wrestling with the group, gave verbal corrections. "
329,A0059106772,"8/26/2025 very social at gate, tolerant of omar standing over here and being in her face. offered no corrections but would flip around anytime he sniffed her butt. stayed out for the entire playgroup, meeting 12 dogs in total. started higher energy but calmed down and was neutral with all dogs. minded her business when a few scuffles broke out"
330,A0059109555,8/24/2025 He seemed unsure in the catchpin so we brought him in on a leash. As he walked into the yard he seemed as though he was in a lot of pain (arthritic maybe). He low growled when dogs came near him but not out of offensiveness more of a correction to get out of his space. Started barking on the way out of the yard at the other dogs.
331,A0059113748,"8/31/2025 Came into the yard very excited and ready to play. Immediately approached Douglas for sniffs. Lots of mouth play and smiles. A very playful, goofy boy."
332,A0059114517,"9/12/2025 loose wiggly body, immediate play bow and break for play"
333,A0059116037,"9/19/2025 very nervous when playful dogs approached her. needs time to be comfortable with each dog before being in a group setting, would do best in GP yard"
334,A0059117627,"9/12/2025 stiff when approached by other dogs but was tolerant of dogs jumping on/around him. attempted to mount dogs a few times, maintained steerability"
335,A0059117737,"9/12/2025 super sweet and friendly with other dogs. allowed dogs to check him out and mount him, but otherwise kept his distance and independently checked out the yard. was in love with handler and when they weren't giving him attention he'd bark at them. sweet old man"
336,A0059121452,8/25/2025 initiates play by nipping at dogs butts
337,A0059121527,nan
338,A0059121809,"9/12/2025 high energy at gate, calmed down once in yard. alternated between rest and interacting with other dogs."
339,A0059121860,"nan

9/1/2025 Sabado was muzzled due to fence fighting. Quickly removed the muzzle and just held leashes because he was fixated on removing the muzzle himself. He showed no signs of aggression, especially after he pottied. He has potential to break for play but was more so on anxious alert mode. Allowed sniffs from other dogs. Marking as 1:1 socialization to really control the group he is around and take precautions. "
340,A0059123537,"nan

9/9/2025 a true playgroup rockstar!! so adaptable with every playstyle, respectful of dogs boundaries and takes ques/corrections like a champ. a helper greeter girly for sure. marking her as tag but could do fine in any yard."
341,A0059123747,"9/12/2025 Immediately play bowed upon entrance to yard, but then independently explored the yard, no direct engagement with anyone. social/friendly when greeting dogs"
342,A0059123893,"nan

8/31/2025 Came into the yard calm and curious. She was tolerant of all dogs of all sizes and genders. Very affectionate and enjoyed just roaming the yard and sniffing the other dogs."
343,A0059125495,nan
344,A0059186726,nan
345,A0059187326,"9/12/2025 very social and friendly with all dogs. immediately broke to play rough with the other dogs in the yard. may need more interactions to solidify sociability, did not seem to understand corrections offered by other dogs. "
346,A0059187897,"8/29/2025 full body hackles upon entrance to yard, tolerant of sly being in her face non stop, but when he got the zoomies she chased after him and began policing his movements. coexisted fine and greeted other dogs nicely, remained in the yard for 4 additional assessments, but is best suited for a group of low energy dogs. 

9/1/2025 Had good gate greetings, came in and was curious of dogs and coexisting in the yard. Could tell she wanted to break for play just unsure how. Could see her moving up to a tag yard once more confident. "
347,A0059188328,"9/12/2025 social with all dogs, no direct play but maintained social behavior throughout assessment. "
348,A0059188894,"nan

8/26/2025 very excited to play in the catchpin. lots of play. he also loved to sniff the yard. very playful"
349,A0059191607,"9/13/2025 not steerable, will bite at water. very playful, all over the place with her energy, very much needs to learn manners, did well with a large group of dogs. "
350,A0059192169,"9/1/2025 Retest after neuter, lots of necking and trying to dominate the dogs in the yard. retested 09/20; social and playful but still made multiple attempts to mount and neck dogs. ntbn"
351,A0059193088,9/9/2025 good gate greeting. wiggly body but then as soon as she got in the yard and was approached by the other dogs she became stiff had her tail high and hackles before disengaging and roaming around the yard. was more interested in what was going on outside of the yard and was super fixated on trying to get out of the yard to get her toy. loves toys 
352,A0059193435,"nan

9/9/2025 Tonka loose body language in the pen, immediately wanted to be a physical player but was super sexually motivated. Would be great player after he is neutered. "
353,A0059199426,"9/8/2025 Rough and rowdy!! Did not even sniff the other dog before jumping up and rolling around. Had the time of his life with Skippy. If he got paired with the wrong dog I could see things going very differently very quickly. 

9/19/2025 see dog interaction note; very physical player, well socialized, friendly with all dogs"
354,A0059201452,"nan

9/1/2025 RR had positive gate greetings. When he came into the yard he had loose body language, and was very steerable. Was the perfect energy level for the tired assessors and was physically playing with them but in a respectable gentle way. Would do best in a physical or tag group. "
355,A0059201506,8/26/2025 hung out with a bunch of big dogs and held his own. excited to greet other dogs but no interest in playing. offered a very appropriate correction when tonka attempted to mount him. met 8 dogs total and did well with all
356,A0059201841,"9/12/2025 shy initially but began warming up and displayed very friendly body language towards other dogs. coexisted well, no interest in playing"
357,A0059209048,"9/12/2025 neutral during greetings, stiffened when multiple dogs approached. independently checked out the yard, no direct engagement with other dogs"
358,A0059209398,"nan

9/20/2025 way to sexually motivated - would not stop mounting, retest after neuter. "
359,A0059209562,"nan

9/1/2025 Odit gave neutral gate greetings so we brought him on leash. He did fine initially but was pretty stiff with a high tail if the dog lingered for too long. Kept trying to neck the other dogs, will retest after neuter. "
360,A0059211166,"9/12/2025 pancaked in yard, stiffened and lip licked when approached, became avoidant when multiple dogs approached her and when she backed herself into the corner she bared her teeth at every dog that approached. "
361,A0059211192,8/31/2025 Came into the yard with a lot of confidence. Very good dog who listened well and enjoyed sniffing every inch of the yard rather than play
362,A0059212950,9/20/2025 shy initially but then engaged in some chase with other dogs. tolerant of dogs being in his face but was avoidant of direct interactions. 
363,A0059214231,"9/12/2025 neutral greetings with other dogs. lower energy than the dogs in the yard during her assessment, but she remained loose and wiggly whenever they approached her. tolerant of a dog attempting to mount her"
364,A0059216974,"nan

9/1/2025 Pima had great gate greetings and entered the yard ready to play! She was super steerable. She ran around the yard like a spaz, lots of physical paw play, and zoomies."
365,A0059217071,"nan

8/31/2025 Retest: chattering teeth and lip licking in pen, then started growling "
366,A0059217133,9/14/2025 came into the yard with a little bit of hesitancy. once in the yard he was very curious of the dogs and tolerant of their interactions but never broke for play. preferred to just coexist in the yard. took corrections from dogs and handlers well
367,A0059218046,"9/9/2025 Very unsure, whale eyed most of the time. Seems somewhat sexually motivated (may resolve with neuter). Was not interested in play. "
368,A0059218047,"9/1/2025 Garlic Curry was so wiggly in the catch pen, he came in and was ready to make friends with all the dogs! Did lots of paw play and after his initial burst of energy he was respectful of all the dogs play styles. Kept him in the yard as a helper/greeter. "
369,A0059218068,9/1/2025 Strawberry waffle had positive body language in the catch pen. She was a little reserved entering the yard but warmed up quickly. She was tolerant and friendly. 
370,A0059223256,nan
371,A0059223836,"9/12/2025 Friendly and loose body language during greetings in the pen and in the yard. Never broke for play and stayed independent in the yard, stayed close to the fence ready to leave. "
372,A0059224207,9/14/2025 came into yard stiff but quickly loosened and became playful in an awkward way. very tolerant of all the dogs and enjoyed playing with the dogs in the yard
373,A0059224364,8/26/2025 excited in the catchpin. when she came in the yard she became very nervous and cautious. she gave great corrections if dogs got in her face. did great coexisting but no interest in other dogs.
374,A0059224903,"8/29/2025 super excited in the catch pen. upon entrance to yard he was kind of awkward, ears pinned back, standing tall and still when other dogs greeted him, quick wagging tail. took correction well from butter. loved lyric. played fake-out with her for a long time. looked like he wanted to play but wasn't sure if he should, may benefit from more interactions with other dogs"
375,A0059225099,"9/20/2025 very low energy, coexisted well. a high energy dog tried to play with her a few times and she offered very appropriate corrections. began riding the fence line after a short time in the yard. "
376,A0059225391,9/13/2025 wiggly and social with other dogs but made multiple attempts to mount dogs and cornered prim trying to mount her. submissive with people but very sweet. RT after nx
377,A0059226845,9/12/2025 very calm. upon entrance was mostly interested in handlers. independently checked out the yard but was tolerant of other dogs being nearby - no interest in engaging
378,A0059228456,"9/9/2025 She was coexisting in the yard, did not give any corrections but seemed to be feeling under the weather. Overall shy and kept to self."
379,A0059229518,"9/20/2025 Popcorn did well co existing in the yard. You could tell she just enjoyed being outside and was tolerant of dogs sniffing her, being in her face and playing around her. Acacia was not reading the yard and jumped on her neck, Popcorn offered an appropriate correction but then they just could not get along so kicked Acacia out. Popcorn tired out quickly and was very people oriented. "
380,A0059230047,"9/20/2025 tested separately from Pawn, she did better but still very anxious and pacing the yard looking for her. she was avoidant and had hackles the majority of the time. she settled slightly after a few minutes but never engaged in play. she let other dogs approach her but once she saw it wasn't Pawn she wasn't interested."
381,A0059230076,"9/20/2025 tested her seperately from Pawnee- Pawn was super anxious that she couldn't see Pawnee. Pawn was constantly pacing the fence and would let other dogs be around her but could care less about them. kept searching for Pawnee, started barking and whining to leave to continue her search. never saw her engage in play or offer any corrections."
382,A0059230095,"nan

9/1/2025 Extremely shut down, took him awhile to get dressed and walk to the catch pen due to SF. He appeared to be curious but would rather sit in the corner and observe, when dogs approached him he disengaged and wanted to go the other direction but gave no corrections. Tail tucked the whole time and stayed up against the fence. "
383,A0059238550,"nan

9/15/2025 Scar had great greetings at the catch pen and was immediately buddies with all the dogs in the yard, very social guy who wanted to play with whoever would play with him."
384,A0059240909,"9/20/2025 RT 09/20/2025needs time to get comfortable with each dog. attempted to mount a few times but maintained playful-to-neutral body language and did well with a mix of dogs very high energy in catch pen and in yard, another dog corrected him and he became more intense, seeming to be offended by the correction. needs reassessment"
385,A0059245257,"9/9/2025 entered the yard confidently, wiggly when greeting all the dogs, was running back and forth with his new friends, potential helper. "
386,A0059246410,"8/29/2025 super social, does not pick up on cues from other dogs, very high energy play. attempted the same level of play with all dogs, despite any corrections given. took corrections very well, didn't seem to understand what it was for, but didn't object. 

nan"
387,A0059247670,"9/12/2025 friendly behavior towards all dogs in the yard, offered tons of play bows and engaged in physical play. "
388,A0059249931,"8/31/2025 Very good gate greeting and a lot of curiosity. Loved bouncing around the yard and playing with the other dogs. Tolerant of all play.

nan"
389,A0059250440,"9/12/2025 PLAYGROUP ROCKSTAR!very friendly and social, when she greeted another dog and he appeared uncomfortable she did very well picking up on his discomfort and disengaging. adaptive play style; played rough with lynk but was calm and controlled with bob and digeridoo. "
390,A0059253592,9/16/2025 Came into the yard with a lot of confidence. He was very tolerant of the other dogs but didn’t care to interact. Enjoyed roaming the yard peacefully alone.
391,A0059253890,"9/12/2025 friendly with other dogs, very well socialized. liked to wrestle with the other dogs in the yard"
392,A0059253900,"9/12/2025 neutral gate greeting, loose and calm during greetings and interactions but mainly wanted to interact with the handlers."
393,A0059255827,"9/14/2025 tried to give kisses to all dogs in the yard. played very gently with dogs of all sizes. alternated between play and rest, seeming content to just coexist but would engage if a dog showed interest. "
394,A0059257262,"9/12/2025 timid upon entry to yard, loosened up and explored yard independently. "
395,A0059258383,"nan

9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Steerable, tolerant, checks in with handler  "
396,A0059258400,9/16/2025 Susi immediately perked up when she saw other dogs and her tail began to wag. would greatly benefit from social interactions with dogs
397,A0059259739,"9/12/2025 she was very shy at the gate and came in with her tail tucked and cowering. when other dogs approached she would run away and yelp if others tried to engage in play, removed quickly to not overwhelm her. she was more interested in sniffing the yard, potentially could co exist with a calm yard. she startles easily. "
398,A0059261154,"9/12/2025 PLAYGROUP ROCKSTAR! super social, very respectful with greetings, matched energy of dogs he interacted with. can be a little humpy but was very easily corrected. "
399,A0059261659,"9/12/2025 friendly with all dogs in the yard, very social. offered appropriate correction when a dog attempted to mount him"
400,A0059261687,"9/12/2025 *see medical notes - ineligible for pg due to condition neutral to all dogs throughout assessment, greeted dogs well but then explored yard independently. "
401,A0059261979,"9/12/2025 very friendly with other dogs, made continuous attempts to mount all dogs. reassess after nx"
402,A0059265066,"9/14/2025 entered yard politely, very gentle and curious of other dogs. eventually broke for play and enjoyed running around with the other dogs. "
403,A0059265558,9/14/2025 Primary Handler:Secondary Handler:Runners:Scribe: Notes:Came into the yard very avoidant of all the dogs and humans. As our greeter walked up to her she immediately tried to get away and make herself as small as possible. Amber held the other dogs back while Kelsey tried to remove her from the yard. She was so scared of Kelsey that it took a while to remove her.  
404,A0059265664,"9/20/2025 while walking to the yard, bandit put on the brakes a few times and was very hesitant to approach the yard. once in he crawled low to the ground and appeared nervous when dogs greeted him. dogs were called away from him and he stood up and explored the yard with a high head. stiffened and tucked tail when gourmet sniffed his butt, but once gourmet walked away bandit followed behind him (like a puppy following mom). when energy in the yard increased he jumped up on the bench to avoid the dogs, handler grabbed his leash to aid in removing him from the yard and when doing so a few dogs approached him and he snapped at them (this appeared to be due to leash pressure and being nervous around the dogs, not indicative on intolerance towards other dogs). "
405,A0059267031,"9/12/2025 full body hackles in catch pen, tight mouth, lip licking. had dogs greet her individually and she began loosening and explored the yard independently. curious and very tolerant "
406,A0059267035,9/16/2025 Came into the yard very excited and wiggly. Was extremely playful and tolerant of other dogs play styles. At one point he felt overwhelmed and gave a great correction. He also took great correction from the other dogs.
407,A0059267774,9/16/2025 Came into the yard very cautious and unsure. She seemed curious of the other dogs and was tolerant with them around her but would run away from fear a few times when she felt overstimulated.
408,A0059269284,"9/12/2025 came into the yard and was immediately wrestling with the other dogs, very loose and wiggly when meeting others, lower energy after a few minutes."
409,A0059269457,"9/12/2025 low tail wag upon entrance but after a few laps began loosening and showing interest in the dogs. licked faces to all that greeted her, by the time she was done in the yard she had greeted all dogs and displayed friendly behavior towards all. "
410,A0059270667,"9/12/2025 loose and wiggly during interactions, immediately engaged in rough play"
411,A0059271815,"9/12/2025 not steerable, very stiff upon entry and when other dogs greeted her, began low growling and slightly baring teeth. ineligible for pg due to lack of steerability/social skills"
412,A0059273417,"9/12/2025 friendly greetings towards dogs, loose body, engaged in some mild play with dogs but began policing as others joined in and became too rowdy. "
413,A0059273664,"9/12/2025 very high energy and ready to play. don't think he knows he's as big as he is, and does not control his limbs when prancing around - very goofy player. was corrected a few times by a dog and did not understand the correction as he had just been playing with her so he continued attempts to play with her. "
414,A0059275084,nan
415,A0059275098,"9/12/2025 neutral greetings with other dogs, primarily ignored them. mostly explored the yard independently but tolerated interactions with other dogs despite his disinterest in playing"
416,A0059275363,"9/12/2025 not very steerable but very social and interacted with all dogs in the yard. trotted around the yard with other dogs, no direct play. "
417,A0059275577,"9/12/2025 very friendly greetings, played well w assessors. offered a strong correction when another dog kept attempting to get him to engage in play. "
418,A0059276482,"9/12/2025 timid upon entrance to yard and when greeting other dogs. when dogs approached his face he stiffened and began lip licking. did not move much in the yard and did not see comfortable around handlers, though his body language was a bit looser and he allowed us to grab his leash and guide him around the yard without issue. lynk jumped up on him and yowler turned around and snapped at lynk - VERY strong correction. needs more interactions with dogs, he is still very fearful. "
419,A0059276909,"9/9/2025 She came into the yard very reserved with her tail tucked, held back the other dogs so she could approach them at her own pace. Hoover greeted her and Yetta licked her lips and showed her teeth slightly. Hoover gave her space and Yetta immediately sat down by the handler. Wanted space from the other dogs but wagged tail around the people. "
420,A0059276979,"9/22/2025 entered yard confidently, peed right on amber. was still upon entrance to yard but over time loosened and greeted dogs nicely. tolerant of dogs jumping on him, standing over him, growling nearby him. ducky momo offered very strong correction which he took well. eventually laid down in yard and watched the other dogs"
421,A0059277630,"9/22/2025 very excited, puppy-like behavior. immediately engaged in play, tried to mount felix a few times but eventually calmed down. alternates between rest and play, did well adapting greeting/energy to low energy dogs."
422,A0059278395,"9/13/2025 very loose and wiggly at the gate, no reaction when a dog was reactive towards him through the barrier. i entered the catch pen to guide him into the yard and as i approached him he began exposing his belly. in the yard displayed flagged tail and fixated on sniffing delaney (dog) and lynk's butts. attempts to mount lynk increased as he spent more time in the yard. remained steerable but continued attempts and was not engaging respectfully with the dogs. considering all behavior it's possible that he is insecure, but would like to reassess after nx to rule out sexual motivation"
423,A0059280210,9/12/2025 shy in the yard and never warmed up to play
424,A0059280782,"9/12/2025 very wiggly and loose while greeting other dogs, engaged in play but became very sexually motivated. would like to reassess after nx"
425,A0059281698,nan
426,A0059281963,"nan

9/14/2025 very avoidant of dogs in the yard. if dogs got too close she'd offer very strong correction. after a short time in the yard she became more defensive and wouldn't let dogs get close to her before she corrected them. in the catch pen she became very reactive and tried to fence fight with the dog in the catch pen next to her. "
427,A0059285580,"9/12/2025 very wiggly butt upon entrance to yard. very friendly with all dogs in the yard, offered tons of play bows, very physical play. very well socialized"
428,A0059286155,"nan

9/9/2025 Took time to warm up, wanted to approach each dog separately, then play bowed with Hoover and had great body language while engaging with other dogs afterwards. "
429,A0059286171,"9/20/2025 super loose and social. engaged with all dogs nicely and in a puppy-like manner. became vocal when playing, was somewhat of a policer when play became physical - even if she wasn't involved in the play. "
430,A0059287820,nan
431,A0059290504,9/12/2025 initially very stiff and unsure when dogs approached her in the yard. as she interacted with more dogs and became more comfortable she broke for play and became a very physical player. did not like when dogs got in her face
432,A0059293093,"9/12/2025 lots of energy at gate, immediately began playing upon entrance to yard, very physical player but began mounting every dog and kept going back to attempt mounting again. may be due to overstimulation but would like to reassess after nx to rule out sexual motivation"
433,A0059295669,"9/12/2025 stiff upon entrance, after a few greetings offered play bows towards the dogs, tolerant of dogs crowding around her. likes to bite faces and necks when playing "
434,A0059296351,"9/12/2025 friendly gate greeting, loose and wiggly during in yard encounters, mostly independent, never engaged in play."
435,A0059298192,"9/15/2025 Blue was cautious but steerable in the catch pen, and she acted the same in the yard. Had slight hackles and whale eye but was curious about the other dogs. Let them sniff her and roamed around with them until Hoover kept play bowing in her face which made Blue loosen up and enjoy herself in the yard. She was tolerant of dogs in her face."
436,A0059300610,"9/12/2025 insecure around other dogs, may need more exposure. fine to coexist, would get nervous if dogs approached him. "
437,A0059300947,9/12/2025 friendly greeting towards other dogs. yard was filled with high puppy energy which he tolerated well but was not as energetic. engaged in some play but was mainly content to coexist and watch the dogs
438,A0059301016,"9/20/2025 super wiggly. bum rushed dandelion to sniff her butt - did not pick up on cues given by dandelion to stop being in her face, but when she corrected him, he took it well and backed off. was very adaptive after that, more gentle with the lower energy dogs and playful only when other dogs initiated play with him. while playing with agora he began attempting to mount her but was easily deterred by handler intervention. "
439,A0059301693,"9/12/2025 fairly neutral until high energy dog entered the yard. fixated and appeared to be policing but never offered correction to other dogs, just chased behind them. "
440,A0059302696,"9/20/2025 friendly, tolerant, kept to self. "
441,A0059302714,"9/12/2025 independently checked out yard, tucked tail when dogs approached but would relax and continue checking out the yard. "
442,A0059303488,9/12/2025 started low growling upon entrance then became stiff. no interest in interacting with other dogs. 
443,A0059305120,9/12/2025 shy at first but loosened and became very social. 
